Day or Night?_2013,State,Date_2013,Race_2013,Vehicle Type_2013,From Where_2013,To Where_2013,Trip distance_2013,Alcohol Today_2013,Age Range_2013,Zipcode_2013,Education Level_2013,Employed_2013,Blood Alcohol Content_2013
1,MA,10/18/2013 11:11,1,Car,Work,Work,20-Nov,No,37.0,1810.0,Bachelor's degree,Employed Full-time,#NULL!
1,MA,10/18/2013 11:23,1,Car,Work,Work,More than 20,,43.0,1844.0,Associate's degree,Employed Full-time,#NULL!
2,MA,10/18/2013 22:43,1,SUV/ Crossover,Own home,Restaurant/eating place,0-5,No,18.0,188.0,Some college - no degree,Other __________________________,0
4,MA,10/26/2013 22:31,1,Car,Restaurant/eating place,Own home,More than 20,No,25.0,2025.0,Bachelor's degree,Employed Full-time,0
4,MA,10/26/2013 22:34,#NULL!,Pickup,,,,,,,,,#NULL!
4,MA,10/26/2013 22:43,1,SUV/ Crossover,Sport or rec facility/park,Own home,20-Nov,Yes,52.0,2045.0,Some college - no degree,Employed Full-time,#NULL!
4,MA,10/26/2013 22:52,1,Car,Other,Own home,20-Nov,Yes,45.0,2045.0,Some college - no degree,Employed Full-time,#NULL!
4,MA,10/26/2013 23:03,#NULL!,SUV/ Crossover,,,,,,,,,#NULL!
4,MA,10/26/2013 23:18,1,SUV/ Crossover,Work,Own home,20-Nov,No,40.0,2066.0,Bachelor's degree,Employed Part-time,#NULL!
4,MA,10/27/2013 0:01,1,Car,Other,Own home,More than 20,Yes,69.0,2025.0,Master's degree,Employed Part-time,#NULL!
5,MA,10/27/2013 1:21,1,Car,Own home,Own home,0-5,No,23.0,2045.0,Bachelor's degree,Employed Full-time,0
5,MA,10/27/2013 1:45,1,Minivan,Other,Own home,20-Nov,Yes,24.0,245.0,High school graduate,Employed Part-time,0
5,MA,10/27/2013 2:04,#NULL!,Car,,,,,,,,,#NULL!
5,MA,10/27/2013 2:29,#NULL!,SUV/ Crossover,,,,,,,,,#NULL!
5,MA,10/27/2013 2:58,#NULL!,Car,,,,,,,,,#NULL!
1,MI,10/4/2013 9:37,#NULL!,Pickup,,,,,,,,,#NULL!
1,MI,10/4/2013 9:43,#NULL!,Pickup,,,,,,,,,#NULL!
1,MI,10/4/2013 10:04,1,Car,Own home,Someone else's home,20-Nov,,54.0,48457.0,Bachelor's degree,On Disability,#NULL!
1,MI,10/4/2013 10:26,1,SUV/ Crossover,School/church,School/church,10-Jun,No,41.0,48420.0,Bachelor's degree,Employed Part-time,0
1,MI,10/4/2013 10:43,1,Car,Own home,Someone else's home,10-Jun,No,32.0,48460.0,Some college - no degree,Homemaker,0
1,MI,10/4/2013 11:00,1,Car,Restaurant/eating place,Own home,10-Jun,No,23.0,48420.0,Some college - no degree,Employed Part-time,0
1,MI,10/4/2013 11:12,1,Pickup,Own home,Work,More than 20,,29.0,49424.0,Bachelor's degree,Employed Full-time,#NULL!
1,MI,10/4/2013 11:17,#NULL!,Car,,,,,,,,,#NULL!
1,MI,10/4/2013 13:20,1,Pickup,Own home,Store or gas station,More than 20,No,71.0,48420.0,Bachelor's degree,Retired,#NULL!
2,MI,10/4/2013 22:36,1,Car,Work,Own home,More than 20,No,19.0,48746.0,Some college - no degree,Employed Full-time,#NULL!
2,MI,10/4/2013 22:42,#NULL!,SUV/ Crossover,,,,,,,,,#NULL!
2,MI,10/4/2013 22:51,#NULL!,SUV/ Crossover,,,,,,,,,#NULL!
2,MI,10/4/2013 23:03,6,Car,Work,Own home,20-Nov,,61.0,48420.0,High school graduate,Employed Full-time,#NULL!
2,MI,10/4/2013 23:21,1,Car,Own home,Other,20-Nov,No,32.0,80634.0,Associate's degree,Employed Full-time,#NULL!
2,MI,10/4/2013 23:27,#NULL!,Car,,,,,,,,,#NULL!
2,MI,10/4/2013 23:33,#NULL!,SUV/ Crossover,,,,,,,,,#NULL!
2,MI,10/4/2013 23:46,1,,Restaurant/eating place,Own home,0-5,No,38.0,48458.0,None - 8th grade,Employed Full-time,#NULL!
2,MI,10/5/2013 0:09,1,SUV/ Crossover,School/church,Own home,20-Nov,,49.0,48458.0,Master's degree,Retired,0
3,MI,10/5/2013 1:18,#NULL!,Car,,,,,,,,,#NULL!
3,MI,10/5/2013 1:23,#NULL!,Minivan,,,,,,,,,#NULL!
3,MI,10/5/2013 1:51,1,Car,Someone else's home,Own home,More than 20,No,19.0,48503.0,Some college - no degree,Other __________________________,#NULL!
3,MI,10/5/2013 2:11,2,Minivan,"Bar, tavern, club",Someone else's home,More than 20,No,38.0,48532.0,9th - 11th grade,Employed Part-time,#NULL!
3,MI,10/5/2013 2:24,#NULL!,SUV/ Crossover,,,,,,,,,#NULL!
3,MI,10/5/2013 2:32,#NULL!,Pickup,,,,,,,,,#NULL!
3,MI,10/5/2013 2:57,1,Car,Work,Own home,10-Jun,No,21.0,48473.0,Some college - no degree,Employed Full-time,#NULL!
3,MI,10/5/2013 4:00,1,Car,Someone else's home,Own home,20-Nov,No,26.0,48458.0,Some college - no degree,Other __________________________,0
5,MI,10/6/2013 1:10,#NULL!,SUV/ Crossover,,,,,,,,,#NULL!
5,MI,10/6/2013 1:30,6,SUV/ Crossover,"Bar, tavern, club",Someone else's home,10-Jun,No,39.0,48529.0,Some college - no degree,Employed Full-time,0
5,MI,10/6/2013 1:53,#NULL!,Car,,,,,,,,,#NULL!
5,MI,10/6/2013 2:15,1,Car,Work,Own home,0-5,No,27.0,48507.0,Some college - no degree,Employed Part-time,0
1,NJ,1/31/2014 9:42,1,Car,Someone else's home,Own home,10-Jun,,26.0,8105.0,High school graduate,Unemployed,0
1,NJ,1/31/2014 10:05,8,Car,Own home,Work,10-Jun,Yes,36.0,8104.0,Some college - no degree,Employed Full-time,0.185
1,NJ,1/31/2014 10:19,2,Car,Work,School/church,More than 20,No,23.0,8094.0,Associate's degree,Employed Part-time,0
1,NJ,1/31/2014 10:38,2,Minivan,Store or gas station,Own home,10-Jun,,48.0,8104.0,Professional degree,On Disability,0
1,NJ,1/31/2014 10:55,2,Minivan,Own home,Own home,0-5,No,58.0,8104.0,High school graduate,Unemployed,0.022
1,NJ,1/31/2014 11:17,2,Car,Own home,Own home,0-5,No,43.0,8104.0,Some college - no degree,Employed Full-time,0.068
1,NJ,1/31/2014 11:42,6,Car,Own home,Other,0-5,No,31.0,8063.0,High school graduate,Employed Full-time,0
2,NJ,1/31/2014 22:37,2,Minivan,Someone else's home,Own home,10-Jun,No,43.0,8110.0,High school graduate,Employed Full-time,#NULL!
2,NJ,1/31/2014 23:06,1,SUV/ Crossover,Other,Own home,10-Jun,No,38.0,8003.0,Bachelor's degree,Employed Full-time,#NULL!
2,NJ,1/31/2014 23:39,3,Car,Store or gas station,Own home,0-5,No,21.0,8107.0,Some college - no degree,Employed Part-time,#NULL!
2,NJ,1/31/2014 23:52,1,Car,Store or gas station,Own home,0-5,No,29.0,8033.0,Master's degree,Employed Part-time,0
2,NJ,2/1/2014 0:09,8,Pickup,Work,Own home,More than 20,Yes,28.0,8045.0,Bachelor's degree,Employed Full-time,0
3,NJ,2/1/2014 2:12,1,Pickup,Own home,Work,10-Jun,No,58.0,8107.0,High school graduate,Employed Part-time,#NULL!
4,NJ,2/1/2014 22:19,#NULL!,Car,,,,,,,,,#NULL!
4,NJ,2/1/2014 22:34,1,Car,Work,Other,More than 20,No,21.0,8030.0,Associate's degree,Employed Full-time,0
4,NJ,2/1/2014 23:48,2,Minivan,Own home,Someone else's home,20-Nov,No,42.0,8110.0,Associate's degree,Employed Full-time,0
5,NJ,2/2/2014 2:17,1,Car,Other,Own home,0-5,No,21.0,8110.0,Some college - no degree,Other __________________________,0
5,NJ,2/2/2014 2:34,1,Car,Work,Own home,10-Jun,No,24.0,8109.0,Bachelor's degree,Employed Full-time,0
5,NJ,2/2/2014 2:45,1,SUV/ Crossover,Someone else's home,Own home,20-Nov,No,58.0,8052.0,Some college - no degree,Employed Full-time,#NULL!
1,NY,8/9/2013 10:06,1,Car,Own home,Work,10-Jun,No,42.0,12401.0,Bachelor's degree,Employed Full-time,#NULL!
2,NY,8/9/2013 22:13,#NULL!,Car,,,,,,,,,#NULL!
2,NY,8/9/2013 22:20,#NULL!,SUV/ Crossover,,,,,,,,,#NULL!
2,NY,8/9/2013 22:40,1,SUV/ Crossover,Restaurant/eating place,Someone else's home,0-5,No,55.0,96819.0,Doctoral degree,Employed Full-time,0
2,NY,8/9/2013 22:52,2,Car,Own home,Sport or rec facility/park,20-Nov,No,32.0,12759.0,Some college - no degree,Other __________________________,#NULL!
2,NY,8/9/2013 23:08,#NULL!,SUV/ Crossover,,,,,,,,,#NULL!
2,NY,8/9/2013 23:14,#NULL!,Car,,,,,,,,,#NULL!
2,NY,8/9/2013 23:20,#NULL!,Car,,,,,,,,,#NULL!
2,NY,8/9/2013 23:36,1,Car,Other,Own home,More than 20,No,56.0,12401.0,High school graduate,On Disability,#NULL!
2,NY,8/9/2013 23:49,9,,Own home,Someone else's home,More than 20,No,31.0,10468.0,9th - 11th grade,Employed Full-time,#NULL!
2,NY,8/9/2013 23:58,#NULL!,Car,,,,,,,,,#NULL!
2,NY,8/10/2013 0:03,#NULL!,Minivan,,,,,,,,,#NULL!
3,NY,8/10/2013 1:48,1,Car,Someone else's home,Own home,More than 20,No,27.0,12401.0,Some college - no degree,Employed Full-time,#NULL!
3,NY,8/10/2013 2:01,1,Car,Work,Own home,20-Nov,,53.0,12402.0,High school graduate,Employed Full-time,#NULL!
3,NY,8/10/2013 2:19,#NULL!,Car,,,,,,,,,#NULL!
3,NY,8/10/2013 2:31,#NULL!,Car,,,,,,,,,#NULL!
3,NY,8/10/2013 2:42,#NULL!,Car,,,,,,,,,#NULL!
3,NY,8/10/2013 3:02,1,Car,Work,Work,20-Nov,,17.0,12491.0,9th - 11th grade,Homemaker,#NULL!
3,NY,8/10/2013 3:21,1,Car,Store or gas station,Someone else's home,0-5,,18.0,12477.0,9th - 11th grade,Employed Part-time,#NULL!
4,NY,8/10/2013 22:07,#NULL!,Car,,,,,,,,,#NULL!
4,NY,8/10/2013 22:11,#NULL!,Car,,,,,,,,,#NULL!
4,NY,8/10/2013 22:19,#NULL!,Car,,,,,,,,,#NULL!
4,NY,8/10/2013 22:34,1,Car,Own home,Someone else's home,20-Nov,Yes,32.0,12589.0,Some college - no degree,Employed Part-time,#NULL!
4,NY,8/10/2013 22:53,1,Car,Someone else's home,Own home,20-Nov,No,21.0,12428.0,High school graduate,Employed Part-time,#NULL!
4,NY,8/10/2013 23:13,1,SUV/ Crossover,Work,Own home,More than 20,No,58.0,12721.0,High school graduate,Employed Full-time,0
4,NY,8/10/2013 23:30,1,Pickup,Work,Own home,20-Nov,,53.0,12566.0,High school graduate,Employed Full-time,0
4,NY,8/10/2013 23:48,1,Pickup,Work,Own home,20-Nov,No,43.0,12566.0,High school graduate,Employed Full-time,#NULL!
4,NY,8/11/2013 0:04,1,SUV/ Crossover,Own home,Other,20-Nov,No,57.0,12420.0,Associate's degree,Retired,0
5,NY,8/11/2013 1:38,1,Pickup,Other,Own home,10-Jun,Yes,43.0,12401.0,Bachelor's degree,Employed Part-time,#NULL!
5,NY,8/11/2013 1:52,1,Car,Work,Own home,0-5,,19.0,12477.0,Some college - no degree,Employed Part-time,#NULL!
5,NY,8/11/2013 2:00,#NULL!,Car,,,,,,,,,#NULL!
5,NY,8/11/2013 2:03,#NULL!,SUV/ Crossover,,,,,,,,,#NULL!
5,NY,8/11/2013 2:14,#NULL!,Car,,,,,,,,,#NULL!
5,NY,8/11/2013 2:21,#NULL!,Car,,,,,,,,,#NULL!
5,NY,8/11/2013 2:38,1,Car,Restaurant/eating place,Own home,20-Nov,,22.0,12401.0,Associate's degree,Employed Part-time,#NULL!
5,NY,8/11/2013 3:00,1,Car,Someone else's home,Own home,10-Jun,Yes,31.0,12456.0,Some college - no degree,Employed Full-time,#NULL!
5,NY,8/11/2013 3:06,#NULL!,Car,,,,,,,,,#NULL!
5,NY,8/11/2013 3:15,#NULL!,Car,,,,,,,,,#NULL!
1,OH,10/11/2013 9:52,1,SUV/ Crossover,Own home,Work,10-Jun,No,27.0,45503.0,Bachelor's degree,Employed Full-time,#NULL!
1,OH,10/11/2013 10:14,2,SUV/ Crossover,Store or gas station,Work,0-5,No,57.0,45506.0,Bachelor's degree,Employed Full-time,0
1,OH,10/11/2013 10:34,3,Minivan,Own home,Other,More than 20,No,33.0,43357.0,Some college - no degree,Homemaker,#NULL!
1,OH,10/11/2013 10:48,1,Car,Store or gas station,Other,0-5,No,72.0,45506.0,Associate's degree,Retired,#NULL!
1,OH,10/11/2013 10:51,#NULL!,Car,,,,,,,,,#NULL!
1,OH,10/11/2013 12:55,1,Car,Own home,Other,10-Jun,No,65.0,45502.0,High school graduate,Retired,#NULL!
2,OH,10/11/2013 22:12,1,Pickup,Sport or rec facility/park,Own home,20-Nov,No,32.0,45504.0,Professional degree,Employed Full-time,#NULL!
2,OH,10/11/2013 22:36,1,Car,Someone else's home,Other,0-5,,65.0,45504.0,High school graduate,Retired,0
2,OH,10/11/2013 22:56,1,Car,Someone else's home,Sport or rec facility/park,0-5,No,33.0,45504.0,High school graduate,Employed Full-time,#NULL!
2,OH,10/11/2013 23:13,1,Car,Someone else's home,Own home,More than 20,,41.0,43318.0,Some college - no degree,Employed Full-time,0
2,OH,10/11/2013 23:22,1,Car,Store or gas station,Restaurant/eating place,0-5,No,55.0,45385.0,High school graduate,On Disability,#NULL!
2,OH,10/11/2013 23:41,1,Car,Someone else's home,Work,10-Jun,No,29.0,45505.0,Some college - no degree,Employed Part-time,#NULL!
2,OH,10/11/2013 23:51,#NULL!,Pickup,,,,,,,,,#NULL!
4,OH,10/12/2013 22:17,1,SUV/ Crossover,Someone else's home,Own home,20-Nov,No,18.0,45504.0,High school graduate,Unemployed,0
4,OH,10/12/2013 22:39,1,SUV/ Crossover,Own home,Someone else's home,10-Jun,No,32.0,45503.0,Some college - no degree,Employed Part-time,0
4,OH,10/12/2013 22:56,2,Car,Someone else's home,Own home,20-Nov,No,37.0,45424.0,Associate's degree,Unemployed,#NULL!
4,OH,10/12/2013 23:12,1,Car,Own home,Own home,0-5,,18.0,45506.0,9th - 11th grade,Employed Part-time,0
4,OH,10/12/2013 23:19,#NULL!,Car,,,,,,,,,#NULL!
4,OH,10/12/2013 23:49,1,Motorcycle,Someone else's home,Own home,More than 20,Yes,62.0,45502.0,High school graduate,Retired,#NULL!
5,OH,10/13/2013 1:06,#NULL!,SUV/ Crossover,,,,,,,,,#NULL!
5,OH,10/13/2013 1:30,#NULL!,Car,,,,,,,,,#NULL!
5,OH,10/13/2013 1:42,1,SUV/ Crossover,Someone else's home,Own home,10-Jun,No,40.0,45503.0,Associate's degree,On Disability,#NULL!
5,OH,10/13/2013 2:09,1,Pickup,Sport or rec facility/park,Own home,More than 20,,29.0,45505.0,High school graduate,Employed Full-time,#NULL!
5,OH,10/13/2013 2:23,1,Car,Someone else's home,Own home,0-5,No,21.0,45505.0,Some college - no degree,Employed Full-time,#NULL!
5,OH,10/13/2013 2:30,#NULL!,SUV/ Crossover,,,,,,,,,#NULL!
5,OH,10/13/2013 2:37,#NULL!,Car,,,,,,,,,#NULL!
5,OH,10/13/2013 3:02,1,Car,Someone else's home,Own home,More than 20,No,28.0,45429.0,Some college - no degree,Employed Full-time,#NULL!
3,PA,6/15/2013 1:21,1,Van,Work,Own home,More than 20,No,36.0,19504.0,Some college - no degree,Employed Full-time,0
3,PA,6/15/2013 1:43,2,Car,Work,Own home,10-Jun,No,25.0,19151.0,Some college - no degree,Employed Full-time,#NULL!
3,PA,6/15/2013 1:52,#NULL!,Pickup,,,,,,,,,#NULL!
3,PA,6/15/2013 2:00,#NULL!,SUV/ Crossover,,,,,,,,,#NULL!
3,PA,6/15/2013 2:18,#NULL!,SUV/ Crossover,,,,,,,,,#NULL!
3,PA,6/15/2013 2:43,1,Car,Work,Own home,20-Nov,No,23.0,19132.0,Some college - no degree,Employed Full-time,#NULL!
3,PA,6/15/2013 3:04,2,SUV/ Crossover,Other,Own home,10-Jun,No,26.0,19139.0,Bachelor's degree,Employed Full-time,0
4,PA,6/15/2013 22:14,1,SUV/ Crossover,Restaurant/eating place,"Bar, tavern, club",10-Jun,Yes,30.0,19460.0,Master's degree,Employed Full-time,#NULL!
4,PA,6/15/2013 22:19,#NULL!,SUV/ Crossover,,,,,,,,,#NULL!
4,PA,6/15/2013 22:38,1,Car,Work,Someone else's home,10-Jun,No,44.0,19460.0,Some college - no degree,Employed Full-time,0
4,PA,6/15/2013 23:03,1,SUV/ Crossover,Other,Own home,10-Jun,No,55.0,19426.0,Bachelor's degree,Employed Full-time,#NULL!
4,PA,6/15/2013 23:32,#NULL!,Car,,,,,,,,,#NULL!
4,PA,6/15/2013 23:40,#NULL!,SUV/ Crossover,,,,,,,,,#NULL!
4,PA,6/15/2013 23:46,#NULL!,Car,,,,,,,,,#NULL!
4,PA,6/15/2013 23:52,#NULL!,SUV/ Crossover,,,,,,,,,#NULL!
4,PA,6/15/2013 23:57,#NULL!,Car,,,,,,,,,#NULL!
5,PA,6/16/2013 1:17,#NULL!,Car,,,,,,,,,#NULL!
5,PA,6/16/2013 1:32,#NULL!,Pickup,,,,,,,,,#NULL!
5,PA,6/16/2013 1:46,#NULL!,Car,,,,,,,,,#NULL!
5,PA,6/16/2013 2:30,1,Pickup,Other,Own home,20-Nov,Yes,37.0,19401.0,High school graduate,Employed Full-time,#NULL!
5,PA,6/16/2013 2:50,2,SUV/ Crossover,Work,Own home,More than 20,,47.0,19406.0,Bachelor's degree,Employed Full-time,0
5,PA,6/16/2013 3:12,2,Car,Sport or rec facility/park,Own home,20-Nov,Yes,50.0,19146.0,Master's degree,Employed Full-time,#NULL!
2,FL,7/12/2013 22:14,1,Car,Own home,Other,20-Nov,No,26.0,33181.0,Master's degree,Employed Part-time,#NULL!
2,FL,7/12/2013 22:35,2,Car,Hotel/motel,Hotel/motel,10-Jun,No,60.0,,Doctoral degree,Employed Full-time,#NULL!
2,FL,7/12/2013 22:56,8,Car,Own home,Restaurant/eating place,0-5,No,21.0,33138.0,Some college - no degree,Employed Part-time,#NULL!
2,FL,7/12/2013 23:37,3,Car,Own home,Sport or rec facility/park,10-Jun,No,26.0,33138.0,Bachelor's degree,Employed Full-time,#NULL!
3,FL,7/13/2013 1:19,1,Pickup,Work,Own home,10-Jun,No,28.0,33137.0,Bachelor's degree,Employed Full-time,#NULL!
3,FL,7/13/2013 1:40,3,Car,Work,Own home,10-Jun,No,25.0,33137.0,Bachelor's degree,Employed Full-time,0
3,FL,7/13/2013 1:56,2,Car,Work,Own home,20-Nov,No,32.0,33138.0,High school graduate,Employed Full-time,#NULL!
3,FL,7/13/2013 2:13,1,Car,Work,Own home,10-Jun,Yes,34.0,33181.0,Bachelor's degree,Employed Full-time,#NULL!
3,FL,7/13/2013 2:33,1,Car,Other,Own home,More than 20,,64.0,33161.0,Master's degree,Employed Full-time,0
3,FL,7/13/2013 2:42,#NULL!,SUV/ Crossover,,,,,,,,,#NULL!
3,FL,7/13/2013 2:59,2,Car,Other,Own home,More than 20,,32.0,33137.0,High school graduate,Employed Full-time,#NULL!
1,MA,10/18/2013 10:29,1,SUV/ Crossover,Work,Work,More than 20,,36.0,1463.0,High school graduate,Employed Full-time,0
1,MA,10/18/2013 11:00,1,SUV/ Crossover,Store or gas station,Own home,10-Jun,No,56.0,1801.0,Associate's degree,Employed Full-time,0
1,MA,10/18/2013 11:15,1,SUV/ Crossover,Work,Work,More than 20,No,31.0,1887.0,Associate's degree,Employed Full-time,0
1,MA,10/18/2013 11:29,1,SUV/ Crossover,Own home,Hotel/motel,10-Jun,,55.0,1887.0,High school graduate,Other __________________________,0
1,MA,10/18/2013 11:45,1,SUV/ Crossover,School/church,Own home,10-Jun,No,57.0,1801.0,Some college - no degree,Employed Part-time,0
2,MA,10/18/2013 22:18,1,SUV/ Crossover,Work,Own home,0-5,No,61.0,1887.0,High school graduate,Unemployed,#NULL!
2,MA,10/18/2013 22:33,1,Pickup,Work,Own home,More than 20,No,39.0,1887.0,High school graduate,Employed Full-time,#NULL!
2,MA,10/18/2013 23:11,1,Pickup,Someone else's home,Own home,20-Nov,No,55.0,1887.0,High school graduate,Employed Full-time,#NULL!
2,MA,10/18/2013 23:41,1,SUV/ Crossover,Restaurant/eating place,Own home,20-Nov,No,38.0,1887.0,Associate's degree,Employed Full-time,0
2,MA,10/19/2013 0:16,1,SUV/ Crossover,Work,Own home,More than 20,No,44.0,1887.0,Some college - no degree,Employed Full-time,0
3,MA,10/19/2013 1:49,1,SUV/ Crossover,Work,Own home,More than 20,Yes,21.0,1887.0,Some college - no degree,Employed Part-time,0
4,MA,10/19/2013 22:16,#NULL!,Car,,,,,,,,,#NULL!
4,MA,10/19/2013 22:37,1,SUV/ Crossover,Own home,Own home,0-5,No,18.0,1887.0,Some college - no degree,Employed Part-time,0
4,MA,10/19/2013 22:49,#NULL!,SUV/ Crossover,,,,,,,,,#NULL!
4,MA,10/19/2013 23:01,1,SUV/ Crossover,Restaurant/eating place,Own home,0-5,Yes,26.0,1887.0,Some college - no degree,Employed Full-time,0.093
4,MA,10/19/2013 23:45,1,Car,Own home,Own home,0-5,,39.0,1887.0,Some college - no degree,Employed Full-time,#NULL!
5,MA,10/20/2013 2:18,1,Car,Own home,Store or gas station,0-5,,34.0,1801.0,High school graduate,On Disability,0
1,MA,10/25/2013 13:54,1,Car,Work,Own home,10-Jun,No,61.0,2190.0,Bachelor's degree,Unemployed,0
1,MA,10/25/2013 14:08,1,SUV/ Crossover,Other,Own home,10-Jun,No,55.0,2043.0,Bachelor's degree,Homemaker,0
1,MA,10/25/2013 14:23,1,SUV/ Crossover,Store or gas station,Own home,0-5,,57.0,2043.0,High school graduate,Employed Full-time,#NULL!
1,MA,10/25/2013 14:38,1,Pickup,School/church,Own home,More than 20,,18.0,2043.0,High school graduate,Employed Part-time,0
1,MA,10/25/2013 14:55,1,Minivan,Other,Restaurant/eating place,10-Jun,,43.0,2045.0,Bachelor's degree,Homemaker,#NULL!
1,MA,10/25/2013 15:14,1,Car,Own home,Other,10-Jun,No,53.0,2043.0,Bachelor's degree,Employed Full-time,#NULL!
1,MA,10/25/2013 15:22,#NULL!,SUV/ Crossover,,,,,,,,,#NULL!
1,MA,10/25/2013 15:40,1,Pickup,Work,Own home,0-5,No,42.0,2043.0,Bachelor's degree,Employed Full-time,#NULL!
2,MA,10/25/2013 22:39,1,Car,Restaurant/eating place,Own home,10-Jun,Yes,48.0,2045.0,Bachelor's degree,Employed Full-time,#NULL!
2,MA,10/25/2013 23:02,1,SUV/ Crossover,Own home,Someone else's home,10-Jun,No,62.0,2191.0,Associate's degree,Retired,0
2,MA,10/25/2013 23:29,1,Van,Store or gas station,Own home,10-Jun,No,23.0,2043.0,Some college - no degree,Employed Part-time,0
2,MA,10/25/2013 23:52,#NULL!,Car,,,,,,,,,#NULL!
3,MA,10/26/2013 1:12,1,Car,Restaurant/eating place,Own home,10-Jun,No,46.0,2066.0,Master's degree,Employed Full-time,#NULL!
3,MA,10/26/2013 1:31,1,Pickup,"Bar, tavern, club",Own home,20-Nov,,38.0,2045.0,High school graduate,Employed Part-time,0
3,MA,10/26/2013 2:19,#NULL!,Car,,,,,,,,,#NULL!
4,MA,10/26/2013 22:15,1,Minivan,Restaurant/eating place,Own home,20-Nov,No,43.0,2061.0,Some college - no degree,Employed Full-time,0
4,MA,10/26/2013 22:39,1,SUV/ Crossover,Own home,Other,10-Jun,No,39.0,2045.0,High school graduate,Employed Full-time,0
4,MA,10/26/2013 22:55,1,Car,Work,Own home,More than 20,No,25.0,2090.0,Some college - no degree,Employed Full-time,0
4,MA,10/26/2013 23:13,1,Car,Other,Own home,10-Jun,,84.0,2066.0,Associate's degree,Retired,0
4,MA,10/26/2013 23:19,1,Minivan,Someone else's home,Own home,20-Nov,,17.0,2045.0,9th - 11th grade,Employed Part-time,#NULL!
4,MA,10/26/2013 23:43,1,Minivan,Other,Own home,0-5,Yes,53.0,2043.0,Bachelor's degree,Employed Full-time,#NULL!
4,MA,10/26/2013 23:56,1,Car,School/church,Own home,More than 20,No,42.0,2045.0,Bachelor's degree,Employed Full-time,#NULL!
5,MA,10/27/2013 1:10,1,SUV/ Crossover,Work,Own home,20-Nov,No,22.0,2045.0,Associate's degree,Employed Part-time,#NULL!
5,MA,10/27/2013 1:16,#NULL!,SUV/ Crossover,,,,,,,,,#NULL!
5,MA,10/27/2013 1:22,#NULL!,Car,,,,,,,,,#NULL!
5,MA,10/27/2013 1:39,1,Car,Someone else's home,Own home,More than 20,Yes,31.0,2045.0,Bachelor's degree,Employed Full-time,#NULL!
5,MA,10/27/2013 1:51,1,Car,Work,Own home,20-Nov,No,24.0,2171.0,Bachelor's degree,Employed Part-time,#NULL!
5,MA,10/27/2013 2:17,1,SUV/ Crossover,Work,Own home,More than 20,No,37.0,2066.0,Bachelor's degree,Employed Full-time,#NULL!
5,MA,10/27/2013 2:53,1,SUV/ Crossover,Work,Own home,20-Nov,No,31.0,2045.0,High school graduate,Employed Full-time,#NULL!
1,MI,10/4/2013 13:37,#NULL!,SUV/ Crossover,,,,,,,,,#NULL!
1,MI,10/4/2013 13:54,1,SUV/ Crossover,Own home,Store or gas station,0-5,No,56.0,48135.0,Some college - no degree,Employed Full-time,0
1,MI,10/4/2013 14:07,2,Car,Own home,School/church,20-Nov,,41.0,48141.0,Some college - no degree,Other __________________________,0
1,MI,10/4/2013 14:15,1,Motorcycle,Other,Other,20-Nov,No,47.0,48184.0,High school graduate,Other __________________________,#NULL!
1,MI,10/4/2013 14:38,1,SUV/ Crossover,Store or gas station,Own home,0-5,No,53.0,48186.0,Bachelor's degree,Employed Full-time,0
1,MI,10/4/2013 14:53,1,Car,Someone else's home,Own home,10-Jun,No,25.0,48135.0,High school graduate,Employed Full-time,0
1,MI,10/4/2013 15:04,1,Car,Own home,Someone else's home,More than 20,No,43.0,40243.0,Master's degree,Employed Full-time,#NULL!
1,MI,10/4/2013 15:18,1,Car,Someone else's home,Own home,0-5,No,28.0,48186.0,High school graduate,Employed Full-time,0
1,MI,10/4/2013 15:30,1,SUV/ Crossover,Work,Own home,20-Nov,No,51.0,48186.0,Bachelor's degree,Employed Full-time,0
2,MI,10/4/2013 22:21,1,SUV/ Crossover,School/church,Own home,0-5,No,51.0,48135.0,Bachelor's degree,Unemployed,0
2,MI,10/4/2013 22:34,1,Car,Store or gas station,Own home,10-Jun,,45.0,48186.0,Bachelor's degree,Employed Part-time,0
2,MI,10/4/2013 22:46,1,Car,Own home,Store or gas station,0-5,Yes,22.0,48135.0,High school graduate,Employed Full-time,#NULL!
2,MI,10/4/2013 23:01,1,Minivan,Someone else's home,Own home,10-Jun,,18.0,48185.0,Some college - no degree,Employed Part-time,0
2,MI,10/4/2013 23:08,#NULL!,Car,,,,,,,,,#NULL!
2,MI,10/4/2013 23:23,1,Car,Work,Own home,More than 20,,20.0,48135.0,Some college - no degree,Employed Part-time,0
2,MI,10/4/2013 23:37,2,Car,Own home,Work,More than 20,No,28.0,48185.0,High school graduate,Employed Full-time,#NULL!
2,MI,10/4/2013 23:56,8,Car,Other,Own home,10-Jun,No,22.0,48127.0,Some college - no degree,Employed Part-time,#NULL!
3,MI,10/5/2013 1:24,1,Car,Work,Own home,10-Jun,No,30.0,48186.0,Some college - no degree,Employed Full-time,0
3,MI,10/5/2013 1:30,#NULL!,Car,,,,,,,,,#NULL!
3,MI,10/5/2013 1:48,2,Car,Work,Own home,More than 20,No,36.0,48125.0,Associate's degree,Employed Part-time,#NULL!
3,MI,10/5/2013 2:04,1,Car,"Bar, tavern, club",Own home,10-Jun,No,25.0,48126.0,Bachelor's degree,Unemployed,0
